initial_id,city,restaurant_id,initial_date,initial_outcome,followup_id,followup_date,followup_outcome,followup_flagged_as_reinspection,days_between
137274,boston,38130,2025-12-18,Fail,137275,2025-12-23,Pass,True,5
137336,boston,40415,2023-09-21,Fail,137337,2023-09-29,Pass,True,8
137618,boston,38980,2025-10-02,Fail,137619,2025-10-17,Pass,True,15
137835,boston,39305,2025-09-03,Fail,137836,2025-09-17,Pass,True,14
137913,boston,39885,2025-06-03,Fail,137914,2025-06-11,Fail,True,8
138262,boston,38371,2025-11-06,Fail,138263,2025-11-14,Fail,True,8
138297,boston,39917,2024-11-01,Fail,138298,2024-11-08,Pass,True,7
138809,boston,39940,2024-04-12,Fail,138810,2024-04-16,Pass,True,4
139115,boston,38043,2025-12-17,Fail,139116,2025-12-26,Fail,True,9
137282,boston,40553,2023-07-11,Fail,137283,2023-07-18,Fail,True,7
137459,boston,38087,2025-09-03,Fail,137460,2025-09-10,Pass,True,7
137901,boston,38069,2025-05-15,Fail,137902,2025-05-22,Pass,True,7
137916,boston,40588,2022-10-21,Fail,137917,2022-10-27,Fail,True,6
138008,boston,38076,2024-03-07,Fail,138009,2024-03-15,Pass,True,8
138053,boston,40749,2022-02-02,Fail,138054,2022-02-11,Fail,True,9
138208,boston,38333,2024-10-15,Fail,138209,2024-10-22,Fail,True,7
138827,boston,39388,2022-12-19,Fail,138828,2022-12-30,Pass,True,11
139020,boston,38701,2024-01-08,Fail,139021,2024-01-17,Pass,True,9
137242,boston,39753,2023-05-19,Fail,137243,2023-05-26,Pass,True,7
137309,boston,38354,2025-09-12,Conditional,137310,2025-09-30,Conditional,False,18
137324,boston,38542,2025-01-22,Fail,137325,2025-01-30,Pass,True,8
137332,boston,40415,2022-08-11,Fail,137333,2022-08-19,Pass,True,8
137954,boston,39267,2023-09-26,Fail,137955,2023-10-03,Fail,True,7
138824,boston,39388,2022-04-21,Fail,138825,2022-05-06,Pass,True,15
138909,boston,38123,2024-02-12,Fail,138910,2024-02-16,Pass,True,4
137518,boston,39014,2022-10-24,Fail,137519,2022-11-07,Fail,True,14
137650,boston,39009,2024-05-09,Fail,137651,2024-05-17,Pass,True,8
138594,boston,39732,2023-10-27,Fail,138595,2023-11-02,Fail,True,6
138761,boston,39196,2024-10-30,Fail,138762,2024-11-06,Fail,True,7
138928,boston,38460,2024-10-22,Fail,138929,2024-11-08,Pass,True,17
139085,boston,39207,2024-11-05,Fail,139086,2024-11-13,Pass,True,8
138021,boston,38647,2022-06-17,Fail,138022,2022-06-24,Pass,True,7
138441,boston,38496,2022-02-09,Fail,138442,2022-02-16,Pass,True,7
138726,boston,38730,2024-06-12,Fail,138727,2024-06-24,Pass,True,12
139223,boston,39783,2023-11-15,Fail,139224,2023-11-28,Pass,True,13
137483,boston,39611,2022-10-05,Fail,137484,2022-10-12,Pass,True,7
137579,boston,38348,2023-11-07,Fail,137580,2023-11-15,Pass,True,8
138117,boston,40111,2023-01-13,Fail,138118,2023-01-20,Pass,True,7
138251,boston,38371,2022-05-09,Fail,138252,2022-05-16,Pass,True,7
137498,boston,38864,2022-12-05,Fail,137499,2022-12-12,Pass,True,7
137889,boston,38069,2022-11-28,Fail,137890,2022-12-19,Pass,True,21
138233,boston,39814,2023-03-16,Fail,138234,2023-03-22,Pass,True,6
138397,boston,38246,2022-10-19,Fail,138398,2022-10-26,Pass,True,7
58768,nyc,23958,2023-08-01,Fail,2172,2023-10-16,Fail,True,76
60714,nyc,20981,2022-11-21,Conditional,2693,2023-02-03,Conditional,True,74
40298,nyc,15060,2025-03-13,Fail,3043,2025-04-02,Conditional,True,20
20270,nyc,20,2025-11-15,Fail,3097,2025-12-31,Conditional,True,46
20640,nyc,1257,2024-06-12,Fail,3710,2024-06-14,Fail,False,2
45035,nyc,3810,2024-11-01,Fail,4133,2025-01-08,Conditional,True,68
14767,nyc,4522,2025-07-08,Fail,4324,2025-09-12,Fail,True,66
40538,nyc,2365,2025-05-13,Conditional,4330,2025-07-09,Pass,True,57
5090,nyc,15070,2023-03-15,Fail,16883,2023-03-29,Fail,False,14
423,nyc,17330,2023-09-12,Fail,4303,2023-09-28,Fail,True,16
53558,nyc,109,2025-08-15,Conditional,15202,2025-09-16,Fail,True,32
30715,nyc,5302,2025-09-24,Conditional,15407,2025-10-21,Conditional,True,27
11392,nyc,22541,2022-12-06,Conditional,15695,2022-12-07,Fail,False,1
6597,nyc,23863,2022-12-15,Fail,16988,2023-01-04,Conditional,True,20
13044,nyc,17843,2024-10-11,Fail,17063,2024-12-17,Fail,True,67
5296,nyc,10211,2025-05-19,Fail,17207,2025-07-23,Pass,True,65
4180,nyc,3426,2025-09-16,Fail,17251,2025-11-19,Pass,True,64
64231,nyc,8941,2025-07-09,Fail,16968,2025-08-19,Pass,True,41
1303,nyc,5782,2023-01-24,Fail,15498,2023-02-08,Pass,True,15
108043,chicago,28574,2023-05-08,Fail,107929,2023-05-10,Fail,True,2
108267,chicago,33064,2023-04-28,Fail,107946,2023-05-10,Pass,True,12
108330,chicago,31770,2023-04-27,Fail,108057,2023-05-05,Pass,True,8
108362,chicago,30924,2023-04-26,Fail,108088,2023-05-04,Pass,True,8
109591,chicago,36563,2023-03-20,Fail,108134,2023-05-03,Conditional,True,44
108353,chicago,28628,2023-04-26,Fail,108153,2023-05-03,Pass,True,7
110721,chicago,28726,2023-02-06,Fail,110510,2023-02-14,Pass,True,8
108520,chicago,29930,2023-04-20,Fail,108318,2023-04-27,Pass,True,7
108898,chicago,30220,2023-04-11,Fail,108714,2023-04-17,Pass,True,6
108951,chicago,30417,2023-04-10,Fail,108719,2023-04-17,Pass,True,7
108828,chicago,35006,2023-04-12,Fail,108737,2023-04-14,Pass,True,2
109043,chicago,36628,2023-04-05,Fail,108863,2023-04-12,Pass,True,7
109159,chicago,28754,2023-04-03,Fail,108933,2023-04-10,Pass,True,7
109269,chicago,28490,2023-03-29,Fail,109063,2023-04-05,Pass,True,7
109367,chicago,33406,2023-03-27,Fail,109139,2023-04-03,Pass,True,7
109607,chicago,35505,2023-03-20,Fail,109460,2023-03-23,Pass,True,3
109565,chicago,36708,2023-03-21,Fail,109489,2023-03-23,Pass,True,2
109836,chicago,31879,2023-03-10,Fail,109573,2023-03-21,Pass,True,11
109852,chicago,33812,2023-03-10,Fail,109622,2023-03-17,Fail,True,7
109815,chicago,29533,2023-03-13,Fail,109595,2023-03-20,Conditional,True,7
109868,chicago,36727,2023-03-10,Fail,109643,2023-03-17,Pass,True,7
109844,chicago,30078,2023-03-10,Fail,109740,2023-03-14,Pass,True,4
109928,chicago,31230,2023-03-08,Fail,109857,2023-03-10,Pass,True,2
110160,chicago,36765,2023-02-28,Fail,109964,2023-03-08,Conditional,True,8
111088,chicago,27181,2023-01-25,Conditional,108404,2023-04-25,Pass,False,90
137866,boston,38488,2022-05-03,Fail,137867,2022-05-10,Pass,True,7
137887,boston,38069,2022-05-06,Fail,137888,2022-05-16,Conditional,True,10
137572,boston,38348,2022-03-29,Fail,137573,2022-04-05,Pass,True,7
139212,boston,39783,2022-01-03,Fail,139213,2022-01-06,Pass,True,3
131373,boston,38548,2025-11-12,Fail,131374,2025-11-19,Pass,True,7
131809,boston,38204,2025-12-08,Fail,131810,2025-12-17,Pass,True,9
131998,boston,39499,2025-08-14,Fail,131999,2025-08-22,Pass,True,8
132039,boston,40509,2023-09-18,Fail,132040,2023-09-25,Pass,True,7
132175,boston,39357,2025-09-03,Fail,132176,2025-09-08,Fail,True,5
132317,boston,38245,2024-03-05,Fail,132318,2024-03-12,Pass,True,7
132935,boston,39668,2025-07-25,Fail,132936,2025-08-01,Pass,True,7
132365,boston,40645,2022-06-29,Fail,132366,2022-07-08,Pass,True,9
132545,boston,39513,2025-02-20,Fail,132546,2025-03-21,Pass,True,29
132569,boston,40652,2022-11-15,Fail,132570,2022-11-29,Pass,True,14
132634,boston,38804,2025-04-09,Fail,132635,2025-04-18,Pass,True,9
132946,boston,40402,2023-01-25,Fail,132947,2023-02-03,Pass,True,9
131417,boston,40101,2023-04-26,Fail,131418,2023-05-05,Pass,True,9
131575,boston,39502,2022-04-14,Fail,131576,2022-04-21,Pass,True,7
131777,boston,38539,2023-12-20,Fail,131778,2023-12-27,Pass,True,7
131906,boston,40047,2024-03-04,Fail,131907,2024-03-12,Fail,True,8
131921,boston,39010,2024-07-30,Fail,131922,2024-08-05,Fail,True,6
132234,boston,38434,2022-05-10,Fail,132235,2022-05-20,Pass,True,10
132343,boston,39242,2024-07-11,Fail,132344,2024-07-17,Pass,True,6
132593,boston,38765,2024-09-13,Fail,132594,2024-09-20,Pass,True,7
132649,boston,38423,2024-09-11,Fail,132650,2024-09-18,Pass,True,7
132672,boston,40244,2023-06-02,Fail,132673,2023-06-15,Fail,True,13
132830,boston,38766,2023-09-11,Fail,132831,2023-09-18,Pass,True,7
133041,boston,38759,2024-01-04,Fail,133042,2024-01-11,Conditional,True,7
131954,boston,38693,2022-05-26,Fail,131955,2022-05-27,Pass,True,1
132812,boston,39287,2022-08-10,Fail,132813,2022-08-16,Pass,True,6
132979,boston,39368,2024-05-16,Fail,132980,2024-05-24,Pass,True,8
131251,boston,39307,2022-01-26,Fail,131252,2022-02-02,Pass,True,7
131267,boston,40400,2022-09-08,Fail,131268,2022-09-16,Pass,True,8
131773,boston,38539,2022-08-23,Fail,131774,2022-09-02,Pass,True,10
132349,boston,38479,2022-07-21,Fail,132350,2022-07-28,Pass,True,7
133088,boston,38684,2022-01-03,Fail,133089,2022-01-11,Pass,True,8
131377,boston,39261,2022-09-19,Fail,131378,2022-10-03,Pass,True,14
131514,boston,39687,2023-10-16,Conditional,131515,2023-11-07,Fail,False,22
132247,boston,39367,2023-01-04,Fail,132248,2023-01-11,Pass,True,7
131856,boston,39246,2022-08-03,Fail,131857,2022-08-10,Conditional,True,7
132245,boston,39367,2022-04-28,Fail,132246,2022-05-05,Pass,True,7
