chicago_category,nyc_match_count,boston_match_count,total_fan_out
"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",83,76,159
FOOD-CONTACT SURFACES: CLEANED & SANITIZED,41,68,109
CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD,67,40,107
"FOOD IN GOOD CONDITION, SAFE, & UNADULTERATED",65,41,106
"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED",35,67,102
PASTEURIZED FOODS USED; PROHIBITED FOODS NOT OFFERED,66,34,100
"UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED",28,70,98
FOOD SEPARATED AND PROTECTED,50,46,96
NON-FOOD/FOOD CONTACT SURFACES CLEAN,33,59,92
"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS",13,72,85
FOOD OBTAINED FROM APPROVED SOURCE,50,33,83
NO BARE HAND CONTACT WITH RTE FOOD OR A PRE-APPROVED ALTERNATIVE PROCEDURE PROPERLY ALLOWED,53,27,80
HANDS CLEAN & PROPERLY WASHED,18,55,73
FOOD RECEIVED AT PROPER TEMPERATURE,36,35,71
GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,36,34,70
PERSONAL CLEANLINESS,19,51,70
"PROPER DISPOSITION OF RETURNED, PREVIOUSLY SERVED, RECONDITIONED & UNSAFE FOOD",41,28,69
FOOD PROPERLY LABELED; ORIGINAL CONTAINER,39,26,65
WIPING CLOTHS: PROPERLY USED & STORED,10,54,64
"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",14,45,59
IN-USE UTENSILS: PROPERLY STORED,14,44,58
"TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED",20,36,56
ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE,8,42,50
"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED",22,23,45
PLANT FOOD PROPERLY COOKED FOR HOT HOLDING,23,21,44
PROPER HOT HOLDING TEMPERATURES,18,26,44
FOOD ADDITIVES: APPROVED AND PROPERLY USED,21,20,41
"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING",18,21,39
PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL,9,30,39
WASHING FRUITS & VEGETABLES,10,27,37
SEWAGE & WASTE WATER PROPERLY DISPOSED,13,24,37
PROPER COLD HOLDING TEMPERATURES,15,21,36
ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,16,19,35
PROPER REHEATING PROCEDURES FOR HOT HOLDING,14,20,34
PROPER COOKING TIME & TEMPERATURES,19,14,33
PROPER COOLING TIME AND TEMPERATURE,12,20,32
GLOVES USED PROPERLY,10,20,30
CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,11,15,26
ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,5,20,25
HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE,11,13,24
THERMOMETERS PROVIDED & ACCURATE,7,14,21
PASTEURIZED EGGS USED WHERE REQUIRED,15,5,20
COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE,5,15,20
"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",7,9,16
"INSECTS, RODENTS, & ANIMALS NOT PRESENT",8,7,15
PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,2,12,14
"REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION",6,8,14
WATER & ICE FROM APPROVED SOURCE,3,10,13
SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED,3,10,13
COMPLIANCE WITH VARIANCE/SPECIALIZED PROCESS/HACCP,4,7,11
PROPER USE OF RESTRICTION AND EXCLUSION,1,10,11
MISCELLANEOUS / PUBLIC HEALTH ORDERS,5,5,10
TIME AS A PUBLIC HEALTH CONTROL; PROCEDURES & RECORDS,2,7,9
"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",1,5,6
APPROVED THAWING METHODS USED,1,5,6
REMOVAL OF SUSPENSION SIGN,2,1,3
VARIANCE OBTAINED FOR SPECIALIZED PROCESSING METHODS,0,3,3
"NO DISCHARGE FROM EYES, NOSE, AND MOUTH",0,1,1
SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC,0,1,1
PROPER DATE MARKING AND DISPOSITION,0,1,1
PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS,0,1,1
PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED,0,0,0
PREVIOUS CORE VIOLATION CORRECTED,0,0,0
ALLERGEN TRAINING AS REQUIRED,0,0,0
