violation_text,city,frequency
Nonfood Contact Surfaces,boston,5724
Controlling Pests,boston,4530
Floors  Walls and Ceilings-Cleanability,boston,3472
(A) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils,boston,2925
System Maintained in Good Repair,boston,2709
(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding,boston,2503
Repairing-Premises  Structures  Attachments  and Fixtures-Methods,boston,2343
Packaged and Unpackaged Food-Separation  Packaging  and Segregation,boston,2295
Cleaning Ventilation Systems  Nuisance and Discharge Prohibition,boston,2219
Wiping Cloths  Use Limitation,boston,2167
Food Storage Containers Identified with Common Name of Food,boston,2105
Maintaining Premises  Unnecessary Items and Litter,boston,2047
Food Storage-Preventing Contamination from the Premises,boston,2032
(A)-(P) Person-In-Charge-Duties,boston,1993
Using a Handwashing Sink-Operation and Maintenance,boston,1986
Nonfood-Contact Surfaces,boston,1967
Hand Drying Provision,boston,1833
In-Use Utensils  Between-Use Storage,boston,1780
Surface Characteristics-Indoor Areas,boston,1710
Ventilation Hood Systems  Filters,boston,1708
Good Repair and Proper Adjustment-Equipment,boston,1663
Sanitizing Solutions  Testing Devices,boston,1470
(A) Certified Food Protection Manager,boston,1317
Ready-To-Eat Time/Temperature Control for Safety Food  Date Marking,boston,1262
(B) and (C) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils,boston,1240
Outer Openings  Protected,boston,1200
Cutting Surfaces,boston,1163
Handwashing Signage,boston,1126
Handwashing Cleanser  Availability,boston,1103
Consumption of Animal Foods that are Raw  Undercooked  or Not Otherwise Processed to Eliminate Pathogens,boston,1096
Miscellaneous Sources of Contamination,boston,1076
Effectiveness-Hair Restraints,boston,976
Clean-up of Vomiting and Diarrheal Events,boston,967
Manual and Mechanical Warewashing Equipment  Chemical Sanitization-Temperature  pH  Concentration and Hardness,boston,943
(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding,boston,906
Temperature Measuring Devices-Functionality,boston,889
Temperature Measuring Devices  Manual and Mechanical Warewashing,boston,879
Cleaning  Frequency and Restrictions,boston,747
Food Labels,boston,745
(A)  (B) and (C)(1)  (4)-(16) Demonstration,boston,723
Removing Dead or Trapped Birds  Insects  Rodents and other Pest,boston,706
Cleaning Floors  Dustless Methods,boston,669
Maintaining Refuse Areas and Enclosures,boston,658
Thawing,boston,607
Shell stock  Maintaining Identification,boston,578
Common Name-Working Containers,boston,577
Walls and Ceilings  Attachments,boston,566
Cooling  Heating  and Holding Capacities-Equipment,boston,519
Outside Receptacles,boston,515
Segregation and Location-Distressed Merchandise,boston,512
Prohibiting Animals,boston,511
Cleaning of Plumbing Fixtures,boston,491
Characteristics-Materials for Construction and Repair,boston,487
Wall and Ceiling Coverings and Coatings,boston,475
When to Wash,boston,469
Toilet Room Receptacle  Covered,boston,445
Intensity-Lighting,boston,430
Service Sink,boston,429
Preventing Contamination from Hands,boston,414
Sponges Use Limitation,boston,413
Food-Contact Surfaces-Cleanability,boston,400
Discarding or Reconditioning Unsafe  Adulterated  or Contaminated Food,boston,399
Conformance with Approved Procedures,boston,377
(A)  (B) and (D) Equipment  Utensils  Linens and Single-Service and Single-Use Articles Storing,boston,368
Compliance with Food Law,boston,358
(A )Cooling Methods,boston,354
Cleaning Agents and Sanitizers  Availability,boston,353
Food Storage  Prohibited Areas,boston,342
Equipment Food-Contact Surfaces and Utensils-Frequency,boston,341
Mechanical Warewashing Equipment  Hot Water Sanitization Temperatures,boston,338
Drying Mops,boston,309
Backflow Prevention  Air Gap,boston,306
Food Temperature Measuring Devices,boston,299
Anti-Choking,boston,296
Cleaning Procedure,boston,285
Covering Receptacles,boston,283
Receptacles,boston,280
Warewashing Machines  Temperature Measuring Devices,boston,278
Light Bulbs  Protective Shielding,boston,272
(A) and (C) Good Repair and Calibration-Utensils and Temperature and Pressure Measuring Devices,boston,268
Cooling,boston,263
Safe  Unadulterated and Honestly Presented,boston,262
Cleaning Receptacles,boston,250
Grease Trap,boston,243
Sanitizers  Criteria-Chemicals,boston,241
Storing Maintenance Tools,boston,240
(A) and (C) Equipment  Utensils  Linens and Single-Service and Single-Use Articles-Storing,boston,239
(A) Gloves  Use Limitation,boston,236
Floors  Walls  and Ceilings  Utility Lines,boston,229
Backflow Prevention,boston,224
